Старост,Мушко,Женско,М/Ж
0,33145,31444,1.0540961709706145
1,33252,31105,1.06902427262498
2,33807,31475,1.074090548054011
3,34076,31952,1.0664747120681022
4,33436,31643,1.0566634010681668
5,34278,32505,1.0545454545454545
6,33773,31523,1.071376455286616
7,33892,32185,1.0530371290974057
8,34706,32396,1.071305099394987
9,34519,32177,1.0727849084749976
10,34017,32064,1.0609094311377245
11,34947,33251,1.0510059847824125
12,35771,34158,1.047221734293577
13,36718,34479,1.0649380782505293
14,37205,35092,1.0602131539952127
15,36928,34971,1.055960653112579
16,37211,35226,1.0563504229830238
17,34760,33014,1.0528866541467257
18,35172,32798,1.072382462345265
19,35898,34081,1.0533141633168042
20,37414,35477,1.0545987541223891
21,39569,37206,1.063511261624469
22,41823,39179,1.0674851323413053
23,41607,39189,1.0617009875220087
24,42545,40056,1.0621380067904933
25,42277,40408,1.0462532171847159
26,43847,42091,1.0417191323560857
27,43871,41846,1.0483917220283898
28,44018,42323,1.0400491458544998
29,46965,44442,1.056770622384231
30,47359,45131,1.0493673971327913
31,46889,45215,1.0370231117991817
32,48104,46198,1.0412571972812676
33,50124,48440,1.0347646573080098
34,50384,48433,1.0402824520471579
35,49564,47864,1.0355172990138726
36,49057,47898,1.024197252494885
37,50216,48587,1.0335274867762982
38,50100,48478,1.0334584760097363
39,50779,49055,1.0351442258689227
40,50913,49514,1.0282546350527124
41,51003,50298,1.0140164618871526
42,50905,50175,1.0145490782262083
43,49349,48640,1.0145764802631578
44,49051,48790,1.0053494568559131
45,47160,47764,0.9873544929235407
46,47439,47335,1.0021971057357135
47,46183,46287,0.9977531488322855
48,46337,46881,0.9883961519592159
49,45283,46946,0.9645763217313509
50,45672,47087,0.9699492428908191
51,45303,47108,0.9616837904389912
52,46323,48247,0.9601218728625615
53,44571,46638,0.9556799176637077
54,46090,48619,0.9479832987103807
55,46204,49318,0.9368587533963258
56,47561,51416,0.9250233390384316
57,48962,52811,0.9271174565904831
58,47028,50757,0.9265323009634139
59,47507,51339,0.9253588889538168
60,45927,50836,0.9034345739239908
61,49590,55187,0.8985811875985287
62,51101,56620,0.9025256093253268
63,53717,60198,0.8923386159008605
64,51551,58249,0.8850109014747034
65,52837,60492,0.8734543410698935
66,43915,51215,0.8574636337010642
67,47721,56928,0.8382693929173693
68,43621,52795,0.8262335448432617
69,41198,50780,0.8113036628593935
70,37348,46172,0.8088885038551503
71,31443,39430,0.797438498605123
72,21704,28611,0.7585893537450631
73,23432,31277,0.7491767113214183
74,23224,30901,0.7515614381411605
75,22638,31237,0.7247174824727086
76,22769,31768,0.7167275245530094
77,23483,32556,0.7213109718638654
78,21192,30609,0.6923453886111928
79,19496,29305,0.6652789626343627
80,18452,27993,0.6591647911977995
81,16552,25345,0.6530676662063524
82,15025,23036,0.6522399722173988
83,13522,21435,0.6308374154420341
84,11450,18529,0.6179502401640672
85 и више,44817,78323,0.5722073975715946
