Старост,Мушко,Женско
0,33145,31444
1,33252,31105
2,33807,31475
3,34076,31952
4,33436,31643
5,34278,32505
6,33773,31523
7,33892,32185
8,34706,32396
9,34519,32177
10,34017,32064
11,34947,33251
12,35771,34158
13,36718,34479
14,37205,35092
15,36928,34971
16,37211,35226
17,34760,33014
18,35172,32798
19,35898,34081
20,37414,35477
21,39569,37206
22,41823,39179
23,41607,39189
24,42545,40056
25,42277,40408
26,43847,42091
27,43871,41846
28,44018,42323
29,46965,44442
30,47359,45131
31,46889,45215
32,48104,46198
33,50124,48440
34,50384,48433
35,49564,47864
36,49057,47898
37,50216,48587
38,50100,48478
39,50779,49055
40,50913,49514
41,51003,50298
42,50905,50175
43,49349,48640
44,49051,48790
45,47160,47764
46,47439,47335
47,46183,46287
48,46337,46881
49,45283,46946
50,45672,47087
51,45303,47108
52,46323,48247
53,44571,46638
54,46090,48619
55,46204,49318
56,47561,51416
57,48962,52811
58,47028,50757
59,47507,51339
60,45927,50836
61,49590,55187
62,51101,56620
63,53717,60198
64,51551,58249
65,52837,60492
66,43915,51215
67,47721,56928
68,43621,52795
69,41198,50780
70,37348,46172
71,31443,39430
72,21704,28611
73,23432,31277
74,23224,30901
75,22638,31237
76,22769,31768
77,23483,32556
78,21192,30609
79,19496,29305
80,18452,27993
81,16552,25345
82,15025,23036
83,13522,21435
84,11450,18529
85 и више,44817,78323
